company,month,total_complaints
GIG Logistics,2019-11,2
GIG Logistics,2019-12,2
GIG Logistics,2020-01,1
GIG Logistics,2020-02,2
GIG Logistics,2020-03,4
GIG Logistics,2020-04,3
GIG Logistics,2020-05,3
GIG Logistics,2020-06,9
GIG Logistics,2020-07,7
GIG Logistics,2020-08,3
GIG Logistics,2020-09,6
GIG Logistics,2020-10,1
GIG Logistics,2020-11,6
GIG Logistics,2020-12,4
GIG Logistics,2021-01,9
GIG Logistics,2021-02,14
GIG Logistics,2021-03,18
GIG Logistics,2021-04,5
GIG Logistics,2021-05,9
GIG Logistics,2021-06,20
GIG Logistics,2021-07,21
GIG Logistics,2021-08,12
GIG Logistics,2021-09,12
GIG Logistics,2021-10,12
GIG Logistics,2021-11,16
GIG Logistics,2021-12,14
GIG Logistics,2022-01,22
GIG Logistics,2022-02,19
GIG Logistics,2022-03,9
GIG Logistics,2022-04,7
GIG Logistics,2022-05,16
GIG Logistics,2022-06,9
GIG Logistics,2022-07,15
GIG Logistics,2022-08,17
GIG Logistics,2022-09,9
GIG Logistics,2022-10,10
GIG Logistics,2022-11,15
GIG Logistics,2022-12,18
GIG Logistics,2023-01,6
GIG Logistics,2023-02,5
GIG Logistics,2023-03,8
GIG Logistics,2023-04,9
GIG Logistics,2023-05,12
GIG Logistics,2023-06,7
GIG Logistics,2023-07,8
GIG Logistics,2023-08,16
GIG Logistics,2023-09,14
GIG Logistics,2023-10,23
GIG Logistics,2023-11,12
GIG Logistics,2023-12,16
GIG Logistics,2024-01,14
GIG Logistics,2024-02,5
GIG Logistics,2024-03,10
GIG Logistics,2024-04,4
GIG Logistics,2024-05,5
GIG Logistics,2024-06,3
GIG Logistics,2024-07,6
GIG Logistics,2024-08,6
GIG Logistics,2024-09,7
GIG Logistics,2024-10,8
GIG Logistics,2024-11,6
GIG Logistics,2024-12,6
GIG Logistics,2025-01,5
GIG Logistics,2025-02,6
GIG Logistics,2025-03,4
GIG Logistics,2025-04,6
GIG Logistics,2025-05,4
GIG Logistics,2025-06,3
GIG Logistics,2025-07,2
GIG Logistics,2025-08,4
GIG Logistics,2025-09,10
GIG Logistics,2025-10,6
GIG Logistics,2025-11,8
GIG Logistics,2025-12,7
GIG Logistics,2026-01,6
GIG Logistics,2026-02,11
GIG Logistics,2026-03,4
Gokada,2021-06,11
Gokada,2021-07,33
Gokada,2021-08,54
Gokada,2021-09,48
Gokada,2021-10,48
Gokada,2021-11,19
Gokada,2021-12,23
Gokada,2022-01,17
Gokada,2022-02,22
Gokada,2022-03,17
Gokada,2022-04,16
Gokada,2022-05,10
Gokada,2022-06,17
Gokada,2022-07,36
Gokada,2022-08,19
Gokada,2022-09,25
Gokada,2022-10,8
Gokada,2022-11,12
Gokada,2022-12,10
Gokada,2023-01,12
Gokada,2023-02,7
Gokada,2023-03,4
Gokada,2023-04,10
Gokada,2023-05,8
Gokada,2023-06,2
Gokada,2023-07,7
Gokada,2023-08,6
Gokada,2023-09,4
Gokada,2023-10,4
Gokada,2023-11,6
Gokada,2023-12,9
Gokada,2024-01,7
Gokada,2024-02,4
Gokada,2024-03,3
Gokada,2024-04,3
Gokada,2024-05,2
Gokada,2024-06,3
Gokada,2024-07,5
Gokada,2024-09,1
Gokada,2024-10,4
Gokada,2024-11,11
Gokada,2025-01,3
Gokada,2025-02,3
Gokada,2025-03,3
Gokada,2025-04,2
Gokada,2025-06,1
Gokada,2025-07,3
Gokada,2025-08,1
Gokada,2025-11,1
Gokada,2025-12,4
Gokada,2026-02,1
Gokada,2026-03,2
Kwik Delivery,2019-12,1
Kwik Delivery,2020-01,1
Kwik Delivery,2020-02,1
Kwik Delivery,2020-03,1
Kwik Delivery,2020-04,1
Kwik Delivery,2020-05,6
Kwik Delivery,2020-06,2
Kwik Delivery,2020-07,2
Kwik Delivery,2020-08,5
Kwik Delivery,2020-09,4
Kwik Delivery,2020-10,3
Kwik Delivery,2020-11,3
Kwik Delivery,2020-12,2
Kwik Delivery,2021-01,9
Kwik Delivery,2021-02,3
Kwik Delivery,2021-03,1
Kwik Delivery,2021-04,3
Kwik Delivery,2021-05,2
Kwik Delivery,2021-06,9
Kwik Delivery,2021-07,14
Kwik Delivery,2021-08,7
Kwik Delivery,2021-09,11
Kwik Delivery,2021-10,5
Kwik Delivery,2021-11,2
Kwik Delivery,2021-12,7
Kwik Delivery,2022-01,2
Kwik Delivery,2022-02,9
Kwik Delivery,2022-03,6
Kwik Delivery,2022-04,10
Kwik Delivery,2022-05,5
Kwik Delivery,2022-06,9
Kwik Delivery,2022-07,13
Kwik Delivery,2022-08,7
Kwik Delivery,2022-09,4
Kwik Delivery,2022-11,8
Kwik Delivery,2022-12,10
Kwik Delivery,2023-01,3
Kwik Delivery,2023-02,2
Kwik Delivery,2023-03,3
Kwik Delivery,2023-04,2
Kwik Delivery,2023-05,3
Kwik Delivery,2023-08,1
Kwik Delivery,2023-09,4
Kwik Delivery,2023-10,4
Kwik Delivery,2023-11,8
Kwik Delivery,2023-12,4
Kwik Delivery,2024-01,3
Kwik Delivery,2024-02,3
Kwik Delivery,2024-04,1
Kwik Delivery,2024-05,2
Kwik Delivery,2024-06,2
Kwik Delivery,2024-07,3
Kwik Delivery,2024-08,4
Kwik Delivery,2024-10,1
Kwik Delivery,2024-11,4
Kwik Delivery,2024-12,3
Kwik Delivery,2025-01,5
Kwik Delivery,2025-02,4
Kwik Delivery,2025-03,5
Kwik Delivery,2025-04,3
Kwik Delivery,2025-05,2
Kwik Delivery,2025-07,2
Kwik Delivery,2025-09,1
Kwik Delivery,2025-10,1
Kwik Delivery,2025-11,1
Kwik Delivery,2025-12,4
Kwik Delivery,2026-01,4
Kwik Delivery,2026-02,2
Topship,2023-10,1
Topship,2024-06,3
Topship,2024-09,2
Topship,2026-03,1
